један,"a, an",а
Поздравите,greet,приветствовать
сив,grey,серый
тло,ground,земля
група,group,группа
расти,grow,расти
раст,growth,рост
гаранција,guarantee,гарантия
стражар,guard,сторожить
Ваљда,guess,предполагать
гост,guest,гость
Водич,guide,гид
крив,guilty,виновный
гитара,guitar,гитара
пиштољ,gun,пистолет
момак,guy,парень
Теретана,gym,спортзал
навика,habit,привычка
коса,hair,волосы
пола,half,половина
сала,hall,зал
рука,hand,рука
ручка,handle,ручка
обесити,hang,вешать
десити се,happen,случаться
сретно,happily,К счастью
срећа,happiness,счастье
срећан,happy,счастливый
тврд,hard,жесткий
једва,hardly,едва ли
штета,harm,вред
штетан,harmful,вредный
шешир,hat,шапка
мржње,hate,ненавидеть
имати,have,иметь
Хаве То модални,have to modal,придется модально
он,he,он
глава,head,голова
главобоља,headache,головная боль
наслов,headline,Заголовок
здравље,health,здоровье
здрав,healthy,здоровый
чути,hear,слышать
слух,hearing,слушание
срце,heart,сердце
топлота,heat,нагревать
грејање,heating,обогрев
небо,heaven,небеса
тешко,heavily,тяжело
тежак,heavy,тяжелый
пета,heel,каблук
висина,height,высота
хеликоптер,helicopter,вертолет
пакао,hell,ад
Здраво,hello,привет
помоћ,help,помощь
користан,helpful,полезный
њеној,her,ее
овде,here,здесь
јунак,hero,герой
њен,hers,ее
она сама,herself,сама
оклевати,hesitate,сомневаться
еј,hey,привет
Здраво,hi,привет
сакрити,hide,скрывать
висок,high,высокий
врхунац,highlight,выделять
високо,highly,высоко
брдо,hill,холм
њега,him,ему
себе,himself,сам
најам,hire,нанимать
његов,his,его
историјски,historic,исторический
историјски,historical,исторический
историја,history,история
погодак,hit,ударять
хоби,hobby,хобби
хокеј,hockey,хоккей
држати,hold,держать
рупа,hole,дыра
одмор,holiday,праздничный день
шупаљ,hollow,пустой
Свети,holy,Святой
кућа,home,дом
домаћи задатак,homework,домашнее задание
поштен,honest,честный
част,honour,честь
надати се,hope,надеяться
ужасан,horrible,ужасный
ужас,horror,ужастик
коњ,horse,лошадь
болница,hospital,больница
домаћин,host,хозяин
врућ,hot,горячий
Хотел,hotel,Гостиница
сат,hour,час
кућа,house,дом
домаћинство,household,семья
кућиште,housing,Корпус
како,how,как
Међутим,however,однако
огроман,huge,огромный
људски,human,человек
шаљив,humorous,юмористический
хумор,humour,юмор
сто,hundred,сто
гладан,hungry,голодный
лов,hunt,охотиться
лов,hunting,охота
ураган,hurricane,ураган
пожурити,hurry,торопиться
боли,hurt,повредить
супруг,husband,муж
ја,I,я
лед,ice,лед
Сладолед,ice cream,мороженое
идеја,idea,идея
идеалан,ideal,идеал
идентификовати,identify,идентифицировать
идентитет,identity,личность
ако,if,если
игнорисати,ignore,игнорировать
болестан,ill,больной
незаконит,illegal,незаконно
болест,illness,болезнь
илустровати,illustrate,иллюстрировать
илустрација,illustration,иллюстрация
слика,image,изображение
имагинаран,imaginary,воображаемый
машта,imagination,воображение
замислити,imagine,представлять себе
непосредан,immediate,немедленный
одмах,immediately,немедленно
имигрант,immigrant,иммигрант
утицај,impact,влияние
нестрпљив,impatient,нетерпеливый
подразумевати,imply,подразумевать
увоз,import,Импортировать
значај,importance,значение
важно,important,важный
наметнути,impose,навязывать
немогућ,impossible,невозможный
Импресс,impress,впечатление
impresioniran,impressed,впечатленный
утисак,impression,впечатление
импресиван,impressive,впечатляющий
побољшати,improve,улучшать
побољшање,improvement,улучшение
у,in,в
инч,inch,дюйм
случај,incident,инцидент
обухватити,include,включать
укључен,included,Включен
укључујући,including,включая
приход,income,доход
повећати,increase,увеличивать
све,increasingly,все чаще
невероватно,incredible,невероятный
невероватно,incredibly,Невероятно
заиста,indeed,действительно
независан,independent,независимый
указати,indicate,указывать
индиректан,indirect,косвенный
појединац,individual,индивидуальный
унутрашњи,indoor,в помещении
унутра,indoors,в помещении
индустријски,industrial,промышленное
индустрија,industry,промышленность
инфекција,infection,инфекционное заболевание
утицај,influence,влияние
обавестити,inform,поставить в известность
неформалан,informal,неофициальный
информације,information,информация
састојак,ingredient,ингредиент
почетни,initial,исходный
у почетку,initially,изначально
иницијатива,initiative,инициатива
повредити,injure,травмирование
повређених,injured,раненый
повреда,injury,рана
унутрашњи,inner,внутренний
невин,innocent,невиновный
инсект,insect,насекомое
у,inside,внутри
на видику,insight,понимание
инсистирати,insist,настаивать
Инспире,inspire,вдохновлять
инсталирај,install,установить
пример,instance,пример
уместо тога,instead,вместо
Институт,institute,институт
институција,institution,учреждение
упутство,instruction,инструкция
инструктор,instructor,инструктор
оруђе,instrument,инструмент
осигурање,insurance,страхование
интелигенција,intelligence,интеллект
интелигентан,intelligent,разумный
Намеравам,intend,намереваться
намењен,intended,намеревался
интензиван,intense,интенсивный
намера,intention,намерение
камата,interest,интерес
заинтересован,interested,заинтересован
занимљив,interesting,интересный
интерни,internal,внутренний
међународни,international,Международный
Интернет,internet,Интернет
протумачити,interpret,интерпретация
прекидати,interrupt,прерывать
интервју,interview,интервью
у,into,в
увести,introduce,представлять
увод,introduction,введение
изумети,invent,изобретать
изум,invention,изобретение
Инвест,invest,вкладывать деньги
истражити,investigate,расследовать
истрага,investigation,расследование
инвестиција,investment,инвестиции
позив,invitation,приглашение
позвати,invite,приглашать
повлачити за собом,involve,вовлекать
укључени,involved,вовлеченный
гвожђе,iron,железо
острво,island,остров
питање,issue,проблема
ТО,IT,ЭТО
то,it,это
ставка,item,элемент
његово,its,его
себе,itself,сам
јакна,jacket,куртка
џем,jam,варенье
јануар,January,Январь
џез,jazz,джаз
фармерке,jeans,джинсы
накит,jewellery,ювелирные изделия
посао,job,работа
придружити,join,присоединиться
шала,joke,шутить
часопис,journal,журнал
новинар,journalist,журналист
путовање,journey,путешествие
радост,joy,радость
судија,judge,судить
пресуда,judgement,суждение
сок,juice,сок
Јул,July,Июль
скок,jump,Прыгать
јун,June,Июнь
млађи,junior,младший
само,just,только
правда,justice,справедливость
оправдати,justify,оправдывать
оштар,keen,увлеченный
задржати,keep,держать
кључ,key,ключ
тастатура,keyboard,клавиатура
шут,kick,пинать
дете,kid,ребенок
Килл,kill,убийство
убијање,killing,убийство
километар,kilometre,километр
врста (тип),kind(type),вид (тип)
врста (брига),kind(caring),добрый (забота)
краљ,king,король
пољубац,kiss,целовать
кухиња,kitchen,кухня
колено,knee,колено
нож,knife,нож
куцати,knock,поступить
знати,know,знать
знање,knowledge,знание
лабораторија,lab,лаборатория
етикета,label,этикетка
лабораторија,laboratory,лаборатория
рад,labour,труд
недостатак,lack,недостаток
дама,lady,леди
језеро,lake,озеро
лампа,lamp,лампа
земљиште,land,земля
пејзаж,landscape,пейзаж
Језик,language,язык
лап топ,laptop,ноутбук
велики,large,большой
у великој мери,largely,во многом
ласт1 (финал),last1 (final),Last1 (Final)
ласт1 (узимајући време),last1 (taking time),Last1 (время)
касно,late,поздно
касније,later,позже
најновији,latest,последний
смех,laugh,смех
смех,laughter,смех
лансирање,launch,запуск
закон,law,закон
адвокат,lawyer,адвокат
Лаи,lay,класть
слој,layer,слой
лењ,lazy,ленивый
олово,lead,вести
лидер,leader,лидер
руководство,leadership,лидерство
водећи,leading,ведущий
Лист,leaf,лист
лига,league,лига
нагнути,lean,наклонять
научити,learn,учиться
учење,learning,обучение
најмање,least,наименее
кожа,leather,кожа
одсуство,leave,оставлять
предавање,lecture,лекция
лево,left,левый
нога,leg,нога
правни,legal,юридический
Слободно време,leisure,досуг
лимун,lemon,лимон
позајмити,lend,одалживать
дужина,length,длина
мање,less,меньше
лекција,lesson,урок
дозволити,let,позволять
писмо,letter,письмо
ниво,level,уровень
библиотека,library,библиотека
лиценца,licence,лицензия
лаж,lie,ложь
лаж,lie,ложь
живот,life,жизнь
начин живота,lifestyle,Стиль жизни
дизање,lift,поднимать
светло (од сунца / лампа),light (from the sun/a lamp),свет (от солнца/лампа)
лигхт (нот хеави),light (not heavy),Свет (не тяжелый)
лике (слично),like (similar),как (аналогично)
као (Пронађите СБ / СТХ пријатно),like (find sb/sth pleasant),Как (найти SB/STH Pleasant)
Именица,Noun,Существительное
вероватно,likely,вероятный
граница,limit,предел
ограничен,limited,ограниченное
линија,line,линия
линк,link,связь
лав,lion,лев
усна,lip,губа
течност,liquid,жидкость
листа,list,список
слушати,listen,слушать
слушалац,listener,слушатель
литература,literature,литература
мало,little,маленький
ливе1,live1,Live1
ливе2,live2,Live2
живо,lively,оживленный
живот,living,жизнь
оптерећење,load,нагрузка
зајам,loan,заем
lokalni,local,местный
лоцирати,locate,найти
налази се,located,располагается
локација,location,расположение
закључати,lock,замок
логичан,logical,логичный
усамљен,lonely,одинокий
дуг,long,длинный
дугорочни,long-term,долгосрочный
изглед,look,смотреть
изгубити,loose,свободный
господар,lord,господин
камион,lorry,грузовик
изгубити,lose,терять
губитак,loss,потеря
изгубљен,lost,потерянный
много,lot,много
гласно,loud,громкий
гласно,loudly,громко
љубав,love,любовь
диван,lovely,прекрасный
низак,low,низкий
нижи,lower,ниже
срећа,luck,удача
срећан,lucky,удачливый
ручак,lunch,обед
плућно крило,lung,легкое
луксуз,luxury,роскошь
машина,machine,машина
луд,mad,безумный
магазин,magazine,журнал
магија,magic,магия
Пошта,mail,почта
главни,main,основной
углавном,mainly,в основном
успоставити,maintain,поддерживать
главни,major,главный
већина,majority,большинство
направити,make,делать
Мушки,male,мужской
тржни центар,mall,торговый центр
човек,man,мужчина
управљати,manage,управлять
управљање,management,управление
менаџер,manager,менеджер
манир,manner,манера
многи,many,много
Мапа,map,карта
март,March,Маршировать
ознака,mark,отметка
тржиште,market,рынок
Маркетинг,marketing,маркетинг
брак,marriage,свадьба
ожењен,married,женатый
венчати,marry,выйти замуж
маса,mass,масса
масиван,massive,массивный
мајстор,master,владелец
матцх (цонтест / одговара),match (contest/correspond),матч (конкурс/соответствует)
одговарајући,matching,соответствующий
материјал,material,материал
математика,mathematics,математика
математика,maths,математика
материја,matter,иметь значение
максимум,maximum,максимум
Може,May,Может
може модал,may modal,может модально
можда,maybe,может быть
ми,me,мне
оброк,meal,еда
значити,mean,иметь в виду
значење,meaning,значение
средства,means,означает
у међувремену,meanwhile,тем временем
мера,measure,мера
мера,measurement,измерение
месо,meat,мясо
медиј,media,СМИ
медицински,medical,медицинский
лек,medicine,лекарство
средњи,medium,середина
сусрет,meet,встретиться
састанак,meeting,встреча
отопити,melt,таять
члан,member,член
меморија,memory,Память
ментални,mental,психиатрический
помињање,mention,упомянуть
мени,menu,меню
неред,mess,беспорядок
порука,message,сообщение
метал,metal,металл
метод,method,метод
метар,metre,метр
средњи,middle,середина
поноћ,midnight,полночь
možda модал,might modal,Может модально
благ,mild,мягкий
миља,mile,миля
војни,military,военный
млеко,milk,молоко
милиона број,million number,миллион номер
ум,mind,разум
мина (припада мени),mine (belongs to me),моя (принадлежит мне)
Рудник (рупа у земљи),mine (hole in the ground),моя (дыра в земле)
минерал,mineral,минеральная
минимум,minimum,минимум
министар,minister,министр
малолетник,minor,незначительный
мањина,minority,меньшинство
минут,minute,минута
огледало,mirror,зеркало
Госпођица,miss,скучать
нестао,missing,отсутствующий
мисија,mission,миссия
грешка,mistake,ошибка
mix,mix,смешивание
помешан,mixed,смешанный
мешавина,mixture,смесь
мобилни,mobile,мобильный
модел,model,модель
модеран,modern,современный
модификовати,modify,модифицировать
тренутак,moment,мгновенный
Понедељак,Monday,Понедельник
новац,money,деньги
монитор,monitor,монитор
мајмун,monkey,обезьяна
месец дана,month,месяц
расположење,mood,настроение
месец,moon,луна
моралан,moral,моральный
више,more,более
јутро,morning,утро
највише,most,большинство
углавном,mostly,по большей части
мајка,mother,мать
моторни,motor,мотор
мотоцикл,motorcycle,мотоцикл
постоље,mount,устанавливать
планина,mountain,гора
миш,mouse,мышь
уста,mouth,рот
потез,move,двигаться
покрет,movement,движение
филм,movie,фильм
много,much,много
блато,mud,грязь
више,multiple,несколько
вишеструко,multiply,умножить
мама,mum,мама
убиство,murder,убийство
мишић,muscle,мышца
музеј,museum,музей
музика,music,музыка
музички,musical,мюзикл
музичар,musician,музыкант
mora модал,must modal,должен модальный
мој,my,мой
сам,myself,сам
мистериозан,mysterious,загадочный
Мистерија,mystery,тайна
ексер,nail,ноготь
име,name,имя
прича,narrative,повествование
узак,narrow,узкий
народ,nation,нация
државни,national,национальный
рођени,native,родной
природни,natural,естественный
природно,naturally,естественно
природа,nature,природа
близу,near,около
скоро,nearly,около
уредан,neat,аккуратный
обавезно,necessarily,обязательно
неопходан,necessary,необходимый
врат,neck,шея
требати,need,нуждаться
игла,needle,иголка
негативан,negative,отрицательный
комшија,neighbour,сосед
комшилук,neighbourhood,район
ни,neither,ни один
нерв,nerve,нерв
нервозан,nervous,нервный
нето,net,сеть
мрежа,network,сеть
никад,never,никогда
ипак,nevertheless,тем не менее
Нова,new,новый
новости,news,Новости
новине,newspaper,газета
следећи,next,следующий
поред,next to,рядом с
леп,nice,хороший
ноћ,night,ночь
ноћна мора,nightmare,кошмар
девет,nine,девять
деветнаест,nineteen,девятнадцать
деведесет,ninety,девяносто
не,no,нет
нико,no one,никто
нико,nobody,никто
бука,noise,шум
бучан,noisy,шумный
ниједан,none,никто
ни,nor,ни
нормалан,normal,нормальный
нормално,normally,обычно
север,north,север
северни,northern,северный
нос,nose,нос
не,not,нет
Белешка,note,примечание
ништа,nothing,ничего
објава,notice,уведомление
појам,notion,понятие
Роман,novel,роман
новембар,November,Ноябрь
Сада,now,сейчас
нигде,nowhere,нигде
нуклеарна,nuclear,ядерный
број,number,число
бројни,numerous,многочисленные
медицинска сестра,nurse,медсестра
орах,nut,орех
поштовати,obey,подчиняться
објекат,object,объект
објективан,objective,цель
обавеза,obligation,обязательство
посматрање,observation,наблюдение
посматрати,observe,наблюдать
добити,obtain,получать
очигледан,obvious,очевидный
очито,obviously,очевидно
прилика,occasion,повод
повремено,occasionally,изредка
доћи,occur,происходить
океан,ocean,океан
сати,o’clock,О'Клан
октобар,October,Октябрь
непаран,odd,странный
од,of,из
ван,off,выключенный
прекршај,offence,оскорбление
увредити,offend,обидеть
офанзива,offensive,оскорбительный
понуда,offer,предложение
канцеларија,office,офис
официр,officer,офицер
званичник,official,официальный
често,often,часто
ох,oh,ой
уље,oil,масло
ок,OK,ХОРОШО
стар,old,старый
старомодан,old-fashioned,старомодный
на,on,на
једном,once,один раз
једно,one,один
лук,onion,лук
Онлине,online,В сети
само,only,только
ка,onto,на
отворен,open,открыть
отварање,opening,открытие
радити,operate,работать
операција,operation,операция
мишљење,opinion,мнение
противник,opponent,противник
прилика,opportunity,возможность
супротставити,oppose,противостоять
супротна,opposed,против
супротан,opposite,противоположный
опозиција,opposition,оппозиция
опција,option,вариант
или,or,или
поморанџа,orange,апельсин
ред,order,заказ
обичан,ordinary,обычный
орган,organ,орган
организација,organization,организация
организовати,organize,организовать
организован,organized,организованный
организатор,organizer,организатор
порекло,origin,источник
оригиналан,original,оригинал
оригинално,originally,первоначально
други,other,другой
иначе,otherwise,в противном случае
trebalo,ought,должен
наш,our,наш
наш,ours,наш
сами,ourselves,сами
напоље,out,вне
исход,outcome,исход
на отвореном,outdoor,на открытом воздухе
напољу,outdoors,на открытом воздухе
спољашњи,outer,внешний
контура,outline,контур
напољу,outside,снаружи
пећ,oven,печь
преко,over,над
уопште,overall,общий
дуговати,owe,быть должным
властити,own,собственный
власник,owner,владелец
темпо,pace,шаг
паковање,pack,пакет
пакет,package,упаковка
страна,page,страница
бол,pain,боль
болан,painful,болезненно
боја,paint,краска
сликар,painter,художник
слика,painting,рисование
пар,pair,пара
палата,palace,дворец
Блед,pale,бледный
тигањ,pan,кастрюля
табла,panel,панель
панталоне,pants,брюки
папир,paper,бумага
став,paragraph,параграф
родитељ,parent,родительский
парк,park,парк
паркирање,parking,стоянка
парламент,parliament,Парламент
део,part,часть
учесник,participant,Участник
учествовати,participate,участвовать
посебан,particular,особый
нарочито,particularly,особенно
делимично,partly,частично
ортак,partner,Партнер
журка,party,вечеринка
проћи,pass,проходить
пролаз,passage,проход
путник,passenger,пассажир
страст,passion,страсть
пасош,passport,заграничный пасспорт
прошлост,past,прошлое
путања,path,путь
пацијент,patient,пациент
шаблон,pattern,шаблон
плата,pay,платить
плаћање,payment,оплата
мир,peace,мир
миран,peaceful,мирный
хемијска оловка,pen,ручка
оловка,pencil,карандаш
пени,penny,пенни
пензија,pension,пенсия
људи,people,люди
бибер,pepper,перец
по,per,перемещение
проценат,per cent,процент
проценат,percentage,процент
савршено,perfect,идеальный
савршено,perfectly,в совершенстве
извршити,perform,выполнять
перформансе,performance,производительность
можда,perhaps,возможно
раздобље,period,период
стални,permanent,постоянный
дозвола,permission,разрешение
дозвола,permit,разрешать
лице,person,человек
лични,personal,личный
личност,personality,личность
лично,personally,лично
перспектива,perspective,перспектива
убедити,persuade,убеждать
Кућни љубимац,pet,домашний питомец
бензин,petrol,бензин
фаза,phase,фаза
феномен,phenomenon,явление
философија,philosophy,Философия
телефон,phone,телефон
слика,photo,Фото
fotografija,photograph,фотография
фотограф,photographer,фотограф
фотографија,photography,Фотография
фраза,phrase,фраза
физички,physical,физический
стање,physics,физика
клавир,piano,пианино
одабрати,pick,выбирать
слика,picture,картина
комад,piece,кусок
свиња,pig,свинья
гомила,pile,куча
пилот,pilot,пилот
игла,pin,приколоть
розе,pink,розовый
цев,pipe,трубка
висина тона,pitch,подача
место,place,место
обичан,plain,простой
план,plan,план
авион,plane,самолет
Планета,planet,планета
планирање,planning,планирование
биљка,plant,растение
пластика,plastic,пластик
тањир,plate,тарелка
платформа,platform,Платформа
игра,play,играть
играч,player,игрок
пријатан,pleasant,приятный
Молимо вас,please,пожалуйста
задовољан,pleased,довольный
задовољство,pleasure,удовольствие
много,plenty,множество
земљиште,plot,сюжет
више,plus,плюс
џеп,pocket,карман
песма,poem,стих
песник,poet,поэт
поезија,poetry,поэзия
тачка,point,точка
заједљив,pointed,заостренный
отров,poison,яд
отрован,poisonous,ядовитый
полиција,police,полиция
полицајац,policeman,полицейский
политика,policy,политика
учтив,polite,вежливый
политички,political,политический
политичар,politician,политик
политика,politics,политика
загађење,pollution,загрязнение
базен,pool,бассейн
сиромашан,poor,бедный
поп,pop,поп
популаран,popular,популярный
популарност,popularity,популярность
Популација,population,Население
Лука,port,порт
портрет,portrait,портрет
поза,pose,поза
положај,position,позиция
позитиван,positive,положительный
поседовати,possess,владеть
поседовање,possession,владение
могућност,possibility,возможность
могућ,possible,возможный
могуће,possibly,возможно
пошта,post,почта
плакат,poster,плакат
лонац,pot,горшок
кромпир,potato,картофель
потенцијал,potential,потенциал
фунта,pound,фунт
сипати,pour,залить
сиромаштво,poverty,бедность
прах,powder,пудра
снага,power,власть
моћна,powerful,мощный
практичан,practical,практичный
пракса,practice,упражняться
пракса,practise,упражняться
похвала,praise,хвалить
молите се,pray,молиться
молитва,prayer,молитва
предвидети,predict,предсказывать
предвиђање,prediction,прогноз
више волети,prefer,предпочитать
трудна,pregnant,беременная
припрема,preparation,подготовка
припремити,prepare,подготовить
припремљен,prepared,готовый
присуство,presence,присутствие
поклон,present,подарок
презентација,presentation,презентация
сачувати,preserve,сохранять
председник,president,президент
преса,press,нажимать
притисак,pressure,давление
претварати се,pretend,притворяться
прилично,pretty,симпатичный
Превент,prevent,предотвращать
Претходна,previous,предыдущий
раније,previously,ранее
Цена,price,цена
свештеник,priest,священник
Примарна,primary,начальный
главни,prime,основной
принц,prince,принц
принцеза,princess,принцесса
принцип,principle,принцип
принт,print,Распечатать
штампач,printer,принтер
штампање,printing,печать
приоритет,priority,приоритет
затвор,prison,тюрьма
затвореник,prisoner,в плену
приватност,privacy,конфиденциальность
приватно,private,частный
награда,prize,приз
вероватно,probably,вероятно
проблем,problem,проблема
процедура,procedure,процедура
процес,process,процесс
производи,produce,производить
продуцент,producer,режиссер
производ,product,продукт
производња,production,производство
професија,profession,профессия
професионалац,professional,профессионал
професор,professor,профессор
профил,profile,профиль
добит,profit,выгода
програм,program,программа
програм,programme,программа
напредак,progress,прогресс
пројекат,project,проект
обећање,promise,обещать
унапредити,promote,продвигать
изговарају,pronounce,произносить
доказ,proof,доказательство
прави,proper,правильный
прописно,properly,правильно
својство,property,свойство
предлог,proposal,предложение
предложити,propose,предложить
изглед,prospect,перспектива
заштитити,protect,защищать
заштита,protection,защита
Протест,protest,акция протеста
поносан,proud,гордый
доказати,prove,доказывать
обезбедити,provide,предоставлять
психолог,psychologist,психолог
психологија,psychology,психология
паб,pub,паб
јавност,public,публичный
публикација,publication,публикация
објавити,publish,публиковать
повући,pull,тянуть
казнити,punish,наказывать
казна,punishment,наказание
ученик,pupil,ученик
куповина,purchase,покупка
чист,pure,чистый
љубичаста,purple,фиолетовый
сврха,purpose,цель
гонити,pursue,преследовать
гурање,push,толкать
ставити,put,помещать
квалификација,qualification,квалификация
квалификован,qualified,квалифицированный
квалификовати,qualify,квалифицировать
квалитет,quality,качество
количина,quantity,количество
четвртина,quarter,четверть
краљица,queen,королева
питање,question,вопрос
ред,queue,очередь
брз,quick,быстрый
брзо,quickly,быстро
миран,quiet,тихий
тихо,quietly,тихо
одустати,quit,покидать
прилично,quite,довольно
цитат,quotation,цитата
цитат,quote,цитировать
трка (такмичење),race (competition),Гонка (соревнование)
трка (људи),race (people),Раса (люди)
трке,racing,гонки
радио,radio,радио
железница,railway,Железнодорожный
киша,rain,дождь
подићи,raise,поднимать
домет,range,диапазон
чин,rank,классифицировать
брз,rapid,стремительный
брзо,rapidly,быстро
редак,rare,редкий
ретко,rarely,редко
стопа,rate,ставка
радије,rather,скорее
сиров,raw,сырой
домет,reach,достигать
реаговати,react,реагировать
реакција,reaction,реакция
читати,read,читать
читач,reader,читатель
читање,reading,чтение
спреман,ready,готовый
прави,real,настоящий
реалистичан,realistic,реалистично
реалност,reality,реальность
схватити,realize,понимать
стварно,really,Действительно
разлог,reason,причина
разуман,reasonable,разумный
поврат,recall,отзывать
признаница,receipt,квитанция
примити,receive,получать
скорашњи,recent,недавний
недавно,recently,недавно
пријем,reception,прием
рецепт,recipe,рецепт
препознати,recognize,распознавать
препоручити,recommend,рекомендовать
препорука,recommendation,рекомендация
запис,record,записывать
снимање,recording,запись
опоравити се,recover,восстанавливаться
за рециклажу,recycle,перерабатывать
црвен,red,красный
смањити,reduce,уменьшать
смањење,reduction,снижение
односити се,refer,ссылаться
упућивање,reference,ссылка
одразити,reflect,отражать
одбити,refuse,мусор
обзир,regard,внимание
регија,region,область
regionalni,regional,региональный
регистровати,register,регистр
жаљење,regret,сожалеть
редовно,regular,обычный
регуларно,regularly,регулярно
регулација,regulation,регулирование
одбити,reject,отклонять
односе,relate,иметь отношение к
повезан,related,связанный
однос,relation,связь
однос,relationship,отношение
релативан,relative,родственник
релативно,relatively,относительно
опусти се,relax,расслабляться
опуштена,relaxed,расслаблен
релакинг,relaxing,расслабляющий
издање,release,выпускать
релевантан,relevant,соответствующий
поуздан,reliable,надежный
рељеф,relief,облегчение
религија,religion,религия
верски,religious,религиозный
ослонити,rely,полагаться
остати,remain,оставаться
примедба,remark,примечание
запамтити,remember,помнить
подсетити,remind,напоминать
даљински,remote,удаленный
Уклонити,remove,удалять
кирија,rent,арендовать
поправка,repair,ремонт
понављање,repeat,повторить
поновљен,repeated,повторяется
заменити,replace,заменять
Одговорити,reply,отвечать
извештај,report,отчет
репортер,reporter,репортер
заступати,represent,представлять
представник,representative,представитель
углед,reputation,репутация
захтев,request,запрос
захтевати,require,требовать
услов,requirement,требование
спашавање,rescue,спасать
истраживање,research,исследовать
истраживач,researcher,Исследователь
резервација,reservation,бронирование
резерва,reserve,бронировать
резидент,resident,житель
одолети,resist,сопротивляться
одлучност,resolve,решать
ресорт,resort,прибегнуть
ресурс,resource,ресурс
поштовати,respect,уважать
реагује,respond,отвечать
одговор,response,ответ
одговорност,responsibility,ответственность
одговоран,responsible,ответственный
рест (преостали део),rest (remaining part),отдых (оставшаяся часть)
Остатак (сан / релак),rest (sleep/relax),отдых (спать/расслабься)
Ресторан,restaurant,ресторан
довести,result,результат
задржати,retain,удерживать
пензионисати,retire,уходить в отставку
пензионисан,retired,ушедший на пенсию
повратак,return,возвращаться
открити,reveal,раскрывать
преглед,review,обзор
поново испитати,revise,исправлять
револуција,revolution,революция
награда,reward,награда
ритам,rhythm,ритм
пиринач,rice,рис
богат,rich,богатый
ослободити,rid,избавлять
вожња,ride,поездка
јел тако,right,верно
ринг,ring,кольцо
ринг,ring,кольцо
расти,rise,рост
ризик,risk,риск
река,river,река
пут,road,дорога
роботски,robot,робот
рок (камен),rock (stone),Рок (камень)
рок музика),rock (music),рок музыка)
улога,role,роль
ролна,roll,рулон
романтичан,romantic,романтик
кров,roof,крыша
соба,room,комната
корен,root,корень
конопац,rope,веревка
груб,rough,грубый
круг,round,круглый
рута,route,маршрут
рутина,routine,рутина
ред,row,ряд
краљевски,royal,Королевский
р,rub,натирать
гума,rubber,резина
глупости,rubbish,мусор
непристојан,rude,грубый
рагби,rugby,регби
правило,rule,правило
трцати,run,бегать
тркач,runner,бегун
руннинг,running,бег
сеоски,rural,деревенский
навала,rush,торопиться
тужан,sad,грустный
нажалост,sadly,грустно
безбедан,safe,безопасный
безбедност,safety,безопасность
једро,sail,плыть
једрење,sailing,парусный спорт
морнар,sailor,моряк
салата,salad,салат
плата,salary,зарплата
продаја,sale,распродажа
со,salt,соль
исти,same,такой же
узорак,sample,образец
песак,sand,песок
сендвич,sandwich,сэндвич
сателит,satellite,спутник
задовољан,satisfied,удовлетворен
задовољити,satisfy,удовлетворять
субота,Saturday,Суббота
сос,sauce,соус
сачувати,save,сохранять
уштеда,saving,сохранение
рецимо,say,сказать
Скала,scale,шкала
скенирати,scan,сканирование
сцаред,scared,испуганный
страховит,scary,страшный
сцена,scene,сцена
распоред,schedule,расписание
шема,scheme,схема
школа,school,школа
Наука,science,наука
научни,scientific,научный
научник,scientist,ученый
скор,score,счет
вриштати,scream,крик
екран,screen,экран
скрипта,script,сценарий
скулптура,sculpture,скульптура
море,sea,море
Претрага,search,поиск
годишње доба,season,время года
седиште,seat,сиденье
сецонд1 (одмах након првог),second1 (next after the first),Второй1 (следующий после первого)
сецонд1 (јединица времена),second1 (unit of time),Второй1 (единица времени)
сецондари,secondary,второстепенный
друго,secondly,во-вторых
тајна,secret,секрет
секретар,secretary,секретарь
одељак,section,раздел
сектор,sector,сектор
осигурати,secure,безопасный
безбедност,security,безопасность
видети,see,видеть
семе,seed,семя
тражити,seek,искать
изгледати,seem,казаться
одабрати,select,выбирать
избор,selection,выбор
сам,self,себя
продам,sell,продавать
пошаљи,send,отправлять
виши,senior,старшая
смисао,sense,смысл
разуман,sensible,разумный
осетљив,sensitive,чувствительный
реченица,sentence,предложение
засебан,separate,отдельный
септембар,September,Сентябрь
низ,sequence,последовательность
серија,series,ряд
озбиљан,serious,серьезный
озбиљно,seriously,серьезно
слуга,servant,слуга
служити,serve,служить
сервис,service,услуга
седница,session,сессия
Сет (Пут),set (put),SET (PUT)
сет (гроуп),set (group),set (группа)
подешавање,setting,параметр
Сеттле,settle,решить
седам,seven,Семь
седамнаесторо,seventeen,семнадцать
седамдесет,seventy,семьдесят
више,several,несколько
озбиљан,severe,серьезный
секс,sex,секс
полни,sexual,сексуальный
Сена,shade,оттенок
сенка,shadow,тень
мућкати,shake,встряхнуть
ћу,shall,должен
плитак,shallow,мелкий
срамота,shame,стыд
облик,shape,форма
Објави,share,делиться
оштар,sharp,острый
она,she,она
овца,sheep,овца
лист,sheet,лист
полица,shelf,полка
шкољка,shell,оболочка
склониште,shelter,приют
смена,shift,сдвиг
сјај,shine,светить
сјајан,shiny,блестящий
брод,ship,корабль
кошуља,shirt,рубашка
шок,shock,шок
шокиран,shocked,в шоке
ципела,shoe,обувь
Пуцај,shoot,стрелять
пуцање,shooting,стрельба
